review_id,date,language,rating,sentiment,topic,topic_key,text,source
R000044,2025-09-11,fr,4,positive,Vue / Panorama,vue,"Panorama exceptionnel sur Paris, on voit jusqu'au Sacré-Cœur et la Défense.",TripAdvisor
R000045,2024-02-22,en,1,negative,Ascenseurs,ascenseur,"Only one lift working, massive wait to go back down.",TripAdvisor
R000046,2025-10-14,en,5,positive,Vue / Panorama,vue,"Stunning panorama, especially at sunset. A must-visit in Paris.",Booking
R000047,2024-04-24,fr,5,positive,Expérience globale,experience,"Visite parfaite, organisation au top, je recommande vivement.",TripAdvisor
R000048,2025-08-19,de,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000049,2024-08-03,en,5,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",Google Maps
R000050,2024-06-07,en,5,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",Booking
R000051,2024-12-06,fr,4,positive,Vue / Panorama,vue,"Spectacle incroyable de nuit avec les illuminations, je recommande absolument.",Google Maps
R000052,2024-04-20,en,1,negative,Prix / Tarification,prix,Tickets are way too expensive for a family of four.,TripAdvisor
R000053,2024-08-21,fr,5,positive,Vue / Panorama,vue,"Spectacle incroyable de nuit avec les illuminations, je recommande absolument.",TripAdvisor
R000054,2024-10-12,en,5,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",TripAdvisor
R000055,2024-09-24,en,1,negative,Ascenseurs,ascenseur,"Elevator broke down during our visit, total disappointment.",TripAdvisor
R000056,2024-11-17,it,5,positive,Vue / Panorama,vue,"Panorama spettacolare al tramonto, momento indimenticabile.",TripAdvisor
R000057,2025-03-22,it,4,positive,Vue / Panorama,vue,"Panorama spettacolare al tramonto, momento indimenticabile.",TripAdvisor
R000058,2025-11-11,de,5,positive,Vue / Panorama,vue,"Wunderschöner Panoramablick, vor allem bei Sonnenuntergang.",Booking
R000059,2025-06-03,en,2,negative,File d'attente,file_attente,"Endless lines at every floor, terrible organization.",TripAdvisor
R000060,2025-11-11,en,4,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",Booking
R000061,2025-07-15,en,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000062,2025-04-21,fr,5,positive,Expérience globale,experience,"Moment magique en famille, les enfants ont adoré.",TripAdvisor
R000063,2024-10-17,en,5,positive,Expérience globale,experience,"Truly magical experience, the monument is even more impressive in person.",Google Maps
R000064,2024-07-22,en,5,positive,Vue / Panorama,vue,"Amazing 360 view, we could see the Sacre-Coeur and even further.",TripAdvisor
R000065,2025-02-28,fr,3,neutral,Général,generique,Monument iconique mais l'expérience reste classique.,Google Maps
R000066,2024-05-31,en,1,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,Google Maps
R000067,2025-06-14,fr,1,negative,File d'attente,file_attente,"Attente beaucoup trop longue malgré la réservation en ligne, c'est inacceptable.",TripAdvisor
R000068,2024-05-16,en,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000069,2025-09-19,en,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000070,2025-05-01,de,5,positive,Expérience globale,experience,"Magische Erfahrung, das Monument ist live noch beeindruckender.",TripAdvisor
R000071,2024-10-08,es,2,negative,Prix / Tarification,prix,Entradas demasiado caras para una familia.,TripAdvisor
R000072,2024-03-23,en,5,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",TripAdvisor
R000073,2024-12-04,fr,2,negative,Prix / Tarification,prix,"Tarifs vraiment excessifs pour ce que c'est, beaucoup trop cher.",Google Maps
R000074,2025-08-21,en,5,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",Booking
R000075,2024-01-07,fr,3,neutral,Général,generique,Monument iconique mais l'expérience reste classique.,Booking
R000076,2025-07-13,fr,5,positive,Personnel / Accueil,personnel,"Accueil chaleureux et équipe efficace, merci pour cette belle visite.",Google Maps
R000077,2025-02-02,de,5,positive,Expérience globale,experience,"Magische Erfahrung, das Monument ist live noch beeindruckender.",TripAdvisor
R000078,2025-09-29,en,5,positive,Vue / Panorama,vue,"Stunning panorama, especially at sunset. A must-visit in Paris.",Google Maps
R000079,2024-05-18,de,5,positive,Vue / Panorama,vue,"Die Aussicht vom Gipfel ist atemberaubend, ganz Paris liegt einem zu Füßen.",Google Maps
R000080,2024-12-11,fr,5,positive,Personnel / Accueil,personnel,"Personnel très accueillant et professionnel, toujours souriant.",Google Maps
R000081,2025-04-26,en,2,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
R000082,2025-10-27,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",TripAdvisor
R000083,2024-01-21,it,4,positive,Vue / Panorama,vue,"Vista mozzafiato dalla cima, si vede tutta Parigi.",Google Maps
R000084,2024-09-19,fr,5,positive,Vue / Panorama,vue,"Panorama exceptionnel sur Paris, on voit jusqu'au Sacré-Cœur et la Défense.",Google Maps
R000085,2024-06-16,fr,4,positive,Expérience globale,experience,"Moment magique en famille, les enfants ont adoré.",Booking
R000086,2025-01-19,fr,5,positive,Personnel / Accueil,personnel,"Accueil chaleureux et équipe efficace, merci pour cette belle visite.",TripAdvisor
R000087,2024-11-04,en,4,positive,Expérience globale,experience,"Truly magical experience, the monument is even more impressive in person.",Google Maps
R000088,2025-03-14,en,5,positive,Expérience globale,experience,"Truly magical experience, the monument is even more impressive in person.",Google Maps
R000089,2024-04-18,fr,2,negative,File d'attente,file_attente,"Attente beaucoup trop longue malgré la réservation en ligne, c'est inacceptable.",TripAdvisor
R000090,2025-03-21,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",TripAdvisor
R000091,2025-08-29,en,2,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
R000092,2024-09-06,de,2,negative,File d'attente,file_attente,"Riesige Schlangen auf jeder Ebene, sehr enttäuschend.",Google Maps
R000093,2024-11-28,en,2,negative,Ascenseurs,ascenseur,"Elevator broke down during our visit, total disappointment.",TripAdvisor
R000094,2024-10-09,fr,2,negative,Ascenseurs,ascenseur,"Un seul ascenseur fonctionnait, attente énorme pour redescendre.",Google Maps
R000095,2025-07-22,en,5,positive,Vue / Panorama,vue,"Amazing 360 view, we could see the Sacre-Coeur and even further.",Google Maps
R000096,2024-04-05,en,2,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
R000097,2025-06-27,en,5,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",TripAdvisor
R000098,2024-09-14,it,4,positive,Vue / Panorama,vue,"Panorama spettacolare al tramonto, momento indimenticabile.",TripAdvisor
R000099,2025-05-10,es,4,positive,Vue / Panorama,vue,"La vista desde la cima es impresionante, se ve todo París.",TripAdvisor
R000100,2024-10-30,en,2,negative,Ascenseurs,ascenseur,"Elevator broke down during our visit, total disappointment.",TripAdvisor
R000101,2024-02-25,fr,4,positive,Expérience globale,experience,"Une expérience magique, le monument est encore plus impressionnant en vrai.",Google Maps
R000102,2025-08-10,en,5,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",TripAdvisor
R000103,2025-05-04,en,5,positive,Vue / Panorama,vue,"Stunning panorama, especially at sunset. A must-visit in Paris.",TripAdvisor
R000104,2024-06-04,fr,5,positive,Expérience globale,experience,"Moment magique en famille, les enfants ont adoré.",TripAdvisor
R000105,2025-03-02,en,5,positive,Vue / Panorama,vue,"The view from the top is absolutely breathtaking, you can see all of Paris.",Google Maps
R000106,2024-10-31,es,5,positive,Expérience globale,experience,"Visita perfecta en familia, los niños lo adoraron.",Google Maps
R000107,2024-07-31,it,5,positive,Vue / Panorama,vue,"Vista mozzafiato dalla cima, si vede tutta Parigi.",Google Maps
R000108,2024-06-09,fr,5,positive,Vue / Panorama,vue,"Panorama exceptionnel sur Paris, on voit jusqu'au Sacré-Cœur et la Défense.",TripAdvisor
R000109,2024-10-16,en,4,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",Google Maps
R000110,2025-07-11,en,2,negative,Ascenseurs,ascenseur,"Elevator broke down during our visit, total disappointment.",TripAdvisor
R000111,2024-11-10,fr,4,positive,Vue / Panorama,vue,"La vue depuis le sommet est tout simplement à couper le souffle, Paris s'étend à perte de vue.",Google Maps
R000112,2025-04-24,es,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Google Maps
R000113,2024-03-23,en,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000114,2025-11-21,de,1,negative,Prix / Tarification,prix,"Viel zu teuer, besonders Essen und Getränke.",Google Maps
R000115,2024-06-28,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",TripAdvisor
R000116,2025-10-12,en,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000117,2024-04-17,it,5,positive,Vue / Panorama,vue,"Panorama spettacolare al tramonto, momento indimenticabile.",Google Maps
R000118,2025-07-17,en,2,negative,Ascenseurs,ascenseur,"Only one lift working, massive wait to go back down.",TripAdvisor
R000119,2024-01-02,fr,5,positive,Vue / Panorama,vue,"Spectacle incroyable de nuit avec les illuminations, je recommande absolument.",Google Maps
R000120,2025-05-25,en,5,positive,Vue / Panorama,vue,"Amazing 360 view, we could see the Sacre-Coeur and even further.",Google Maps
R000121,2025-05-11,es,5,positive,Vue / Panorama,vue,"Panorama espectacular al atardecer, momento inolvidable.",TripAdvisor
R000122,2024-01-15,it,5,positive,Vue / Panorama,vue,"Vista mozzafiato dalla cima, si vede tutta Parigi.",Google Maps
R000123,2024-04-30,fr,3,neutral,Général,generique,Monument iconique mais l'expérience reste classique.,Google Maps
R000124,2024-10-06,fr,3,neutral,Général,generique,Ça vaut le coup de le voir une fois dans sa vie.,TripAdvisor
R000125,2025-09-05,en,5,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",Google Maps
R000126,2024-12-14,de,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Booking
R000127,2025-08-16,en,2,negative,Ascenseurs,ascenseur,"Only one lift working, massive wait to go back down.",Booking
R000128,2025-07-19,en,5,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",Google Maps
R000129,2025-08-08,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",TripAdvisor
R000130,2025-01-25,de,5,positive,Expérience globale,experience,"Magische Erfahrung, das Monument ist live noch beeindruckender.",TripAdvisor
R000131,2024-05-09,en,2,negative,Prix / Tarification,prix,Tickets are way too expensive for a family of four.,Google Maps
R000132,2025-06-22,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Booking
R000133,2024-09-28,fr,4,positive,Expérience globale,experience,"Une expérience magique, le monument est encore plus impressionnant en vrai.",TripAdvisor
R000134,2025-10-03,en,2,negative,Ascenseurs,ascenseur,"Only one lift working, massive wait to go back down.",Google Maps
R000135,2024-08-28,es,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Google Maps
R000136,2024-04-10,de,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000137,2024-01-30,en,4,positive,Vue / Panorama,vue,"Amazing 360 view, we could see the Sacre-Coeur and even further.",TripAdvisor
R000138,2025-06-27,es,4,positive,Expérience globale,experience,"Visita perfecta en familia, los niños lo adoraron.",TripAdvisor
R000139,2025-01-26,en,5,positive,Vue / Panorama,vue,"The view from the top is absolutely breathtaking, you can see all of Paris.",Google Maps
R000140,2025-04-17,fr,3,neutral,Général,generique,"Visite correcte mais sans plus, attendu plus d'animations.",Google Maps
R000141,2024-06-10,en,2,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
R000142,2024-09-13,it,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",TripAdvisor
R000143,2024-08-30,fr,3,neutral,Général,generique,"Visite correcte mais sans plus, attendu plus d'animations.",TripAdvisor
R000144,2025-11-05,en,4,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",TripAdvisor
R000145,2025-05-23,fr,3,neutral,Général,generique,Ça vaut le coup de le voir une fois dans sa vie.,Google Maps
R000146,2024-07-13,de,1,negative,File d'attente,file_attente,"Riesige Schlangen auf jeder Ebene, sehr enttäuschend.",Google Maps
R000147,2025-10-23,en,2,negative,Prix / Tarification,prix,"Ridiculously overpriced, especially food and drinks.",TripAdvisor
R000148,2024-10-29,es,4,positive,Expérience globale,experience,"Experiencia mágica, el monumento es aún más impresionante en persona.",TripAdvisor
R000149,2024-10-06,en,5,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",Google Maps
R000150,2024-12-12,fr,2,negative,Propreté,proprete,"Beaucoup de déchets autour du monument, dommage pour l'image.",Google Maps
R000151,2025-02-10,en,5,positive,Vue / Panorama,vue,"Amazing 360 view, we could see the Sacre-Coeur and even further.",Booking
R000152,2024-05-06,es,4,positive,Expérience globale,experience,"Experiencia mágica, el monumento es aún más impresionante en persona.",TripAdvisor
R000153,2024-08-27,en,1,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
R000154,2025-10-25,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",TripAdvisor
R000155,2024-04-29,es,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",TripAdvisor
R000156,2025-07-04,it,4,positive,Vue / Panorama,vue,"Vista mozzafiato dalla cima, si vede tutta Parigi.",TripAdvisor
R000157,2025-11-01,en,2,negative,Sécurité,securite,"Watch out for pickpockets, they are everywhere around the tower.",TripAdvisor
R000158,2024-08-10,en,5,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",TripAdvisor
R000159,2025-07-11,it,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Booking
R000160,2025-04-10,en,5,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",TripAdvisor
R000161,2024-09-06,fr,2,negative,File d'attente,file_attente,"File d'attente interminable, plus de 2 heures sous le soleil sans ombre.",Booking
R000162,2024-08-26,es,5,positive,Vue / Panorama,vue,"La vista desde la cima es impresionante, se ve todo París.",TripAdvisor
R000163,2024-05-28,fr,3,neutral,Général,generique,Monument iconique mais l'expérience reste classique.,Booking
R000164,2024-05-14,en,2,negative,File d'attente,file_attente,"Endless lines at every floor, terrible organization.",TripAdvisor
R000165,2024-02-23,es,4,positive,Expérience globale,experience,"Experiencia mágica, el monumento es aún más impresionante en persona.",TripAdvisor
R000166,2025-01-05,en,5,positive,Vue / Panorama,vue,"Stunning panorama, especially at sunset. A must-visit in Paris.",Google Maps
R000167,2025-11-05,fr,5,positive,Expérience globale,experience,"Une expérience magique, le monument est encore plus impressionnant en vrai.",Google Maps
R000168,2025-02-15,en,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",TripAdvisor
R000169,2024-11-25,fr,2,negative,Propreté,proprete,"Toilettes pas très propres au deuxième étage, à améliorer.",Google Maps
R000170,2024-11-28,fr,5,positive,Expérience globale,experience,"Moment magique en famille, les enfants ont adoré.",TripAdvisor
R000171,2024-04-27,en,4,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",Google Maps
R000172,2024-08-21,en,2,negative,Prix / Tarification,prix,Tickets are way too expensive for a family of four.,TripAdvisor
R000173,2025-11-12,es,5,positive,Vue / Panorama,vue,"Panorama espectacular al atardecer, momento inolvidable.",TripAdvisor
R000174,2024-03-28,it,1,negative,Prix / Tarification,prix,"Prezzi eccessivi, soprattutto la ristorazione.",TripAdvisor
R000175,2025-07-29,fr,1,negative,Prix / Tarification,prix,"Trop cher pour la restauration sur place, comptez 25€ un sandwich.",Google Maps
R000176,2024-02-22,en,5,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",Booking
R000177,2025-05-08,en,4,positive,Expérience globale,experience,"Truly magical experience, the monument is even more impressive in person.",TripAdvisor
R000178,2024-10-12,fr,3,neutral,Général,generique,"Visite correcte mais sans plus, attendu plus d'animations.",Google Maps
R000179,2024-01-30,es,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",TripAdvisor
R000180,2024-05-26,en,4,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",Google Maps
R000181,2025-06-27,en,4,positive,Expérience globale,experience,"Truly magical experience, the monument is even more impressive in person.",TripAdvisor
R000182,2025-08-04,en,5,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",Google Maps
R000183,2025-11-08,de,4,positive,Vue / Panorama,vue,"Die Aussicht vom Gipfel ist atemberaubend, ganz Paris liegt einem zu Füßen.",TripAdvisor
R000184,2025-03-16,en,4,positive,Vue / Panorama,vue,"Amazing 360 view, we could see the Sacre-Coeur and even further.",TripAdvisor
R000185,2025-02-08,en,4,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",Booking
R000186,2024-10-23,fr,5,positive,Vue / Panorama,vue,"Panorama exceptionnel sur Paris, on voit jusqu'au Sacré-Cœur et la Défense.",TripAdvisor
R000187,2024-08-23,fr,1,negative,Prix / Tarification,prix,"Tarifs vraiment excessifs pour ce que c'est, beaucoup trop cher.",Google Maps
R000188,2024-02-13,es,2,negative,File d'attente,file_attente,Demasiada espera incluso con entradas online.,TripAdvisor
R000189,2025-10-17,en,5,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",TripAdvisor
R000190,2025-09-24,fr,5,positive,Personnel / Accueil,personnel,"Personnel très accueillant et professionnel, toujours souriant.",TripAdvisor
R000191,2025-08-26,en,4,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",TripAdvisor
R000192,2024-12-07,fr,3,neutral,Général,generique,"Visite correcte mais sans plus, attendu plus d'animations.",Google Maps
R000193,2024-12-23,fr,2,negative,Sécurité,securite,"Trop de vendeurs à la sauvette autour, sentiment d'insécurité.",TripAdvisor
R000194,2024-09-19,it,1,negative,File d'attente,file_attente,"Coda interminabile di oltre 2 ore, un incubo.",TripAdvisor
R000195,2025-10-05,en,2,negative,File d'attente,file_attente,"Waited over 2 hours in line even with online tickets, awful.",TripAdvisor
R000196,2025-10-04,es,2,negative,Prix / Tarification,prix,Entradas demasiado caras para una familia.,TripAdvisor
R000197,2025-08-28,en,5,positive,Expérience globale,experience,"Perfect family day, kids loved every minute of it.",TripAdvisor
R000198,2024-10-20,en,4,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",TripAdvisor
R000199,2025-08-17,de,3,neutral,Général,generique,"Iconic monument, the experience is okay overall.",Google Maps
R000200,2024-11-25,es,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Google Maps
R000201,2024-12-17,en,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Booking
R000202,2025-03-25,fr,2,negative,File d'attente,file_attente,"File d'attente interminable, plus de 2 heures sous le soleil sans ombre.",Google Maps
R000203,2024-12-12,en,5,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",Google Maps
R000204,2025-07-25,fr,1,negative,Ascenseurs,ascenseur,"Ascenseur en panne le jour de notre visite, déception totale.",Google Maps
R000205,2025-08-19,fr,1,negative,Sécurité,securite,"Trop de vendeurs à la sauvette autour, sentiment d'insécurité.",Google Maps
R000206,2024-03-27,de,5,positive,Expérience globale,experience,"Magische Erfahrung, das Monument ist live noch beeindruckender.",TripAdvisor
R000207,2025-03-09,en,2,negative,Prix / Tarification,prix,"Ridiculously overpriced, especially food and drinks.",Google Maps
R000208,2025-05-12,fr,5,positive,Vue / Panorama,vue,"Vue magnifique au coucher du soleil, un moment inoubliable avec ma famille.",TripAdvisor
R000209,2025-07-06,it,5,positive,Vue / Panorama,vue,"Vista mozzafiato dalla cima, si vede tutta Parigi.",Google Maps
R000210,2024-06-06,de,5,positive,Expérience globale,experience,"Magische Erfahrung, das Monument ist live noch beeindruckender.",TripAdvisor
R000211,2025-01-08,es,1,negative,File d'attente,file_attente,Demasiada espera incluso con entradas online.,Google Maps
R000212,2024-08-27,fr,5,positive,Personnel / Accueil,personnel,"Accueil chaleureux et équipe efficace, merci pour cette belle visite.",Google Maps
R000213,2025-08-07,fr,1,negative,Propreté,proprete,"Toilettes pas très propres au deuxième étage, à améliorer.",Booking
R000214,2024-07-23,en,5,positive,Personnel / Accueil,personnel,"Great team, super welcoming and professional throughout.",Google Maps
R000215,2025-07-21,fr,5,positive,Expérience globale,experience,"Visite parfaite, organisation au top, je recommande vivement.",Booking
R000216,2024-06-13,en,4,positive,Vue / Panorama,vue,"Stunning panorama, especially at sunset. A must-visit in Paris.",TripAdvisor
R000217,2024-08-15,de,5,positive,Expérience globale,experience,"Magische Erfahrung, das Monument ist live noch beeindruckender.",Google Maps
R000218,2025-02-09,de,3,neutral,Général,generique,"Decent visit, nothing extraordinary but worth doing once.",Google Maps
R000219,2024-01-29,fr,3,neutral,Général,generique,"Visite correcte mais sans plus, attendu plus d'animations.",TripAdvisor
R000220,2024-10-20,fr,1,negative,Ascenseurs,ascenseur,"Ascenseur en panne le jour de notre visite, déception totale.",Booking
R000221,2024-03-22,en,2,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
R000222,2024-04-23,fr,5,positive,Expérience globale,experience,"Moment magique en famille, les enfants ont adoré.",Google Maps
R000223,2025-09-29,fr,5,positive,Vue / Panorama,vue,"Spectacle incroyable de nuit avec les illuminations, je recommande absolument.",TripAdvisor
R000224,2025-06-11,fr,3,neutral,Général,generique,Ça vaut le coup de le voir une fois dans sa vie.,Google Maps
R000225,2025-08-07,en,5,positive,Vue / Panorama,vue,"Amazing 360 view, we could see the Sacre-Coeur and even further.",TripAdvisor
R000226,2025-07-11,en,5,positive,Personnel / Accueil,personnel,"Staff was very friendly and helpful, spoke perfect English.",Google Maps
R000227,2025-01-31,it,4,positive,Vue / Panorama,vue,"Panorama spettacolare al tramonto, momento indimenticabile.",Booking
R000228,2025-11-03,fr,4,positive,Vue / Panorama,vue,"Vue magnifique au coucher du soleil, un moment inoubliable avec ma famille.",Google Maps
R000229,2025-07-13,es,1,negative,Prix / Tarification,prix,"Precios excesivos, sobre todo la comida en el lugar.",TripAdvisor
R000230,2024-05-18,en,2,negative,Sécurité,securite,Felt unsafe with all the street vendors harassing tourists.,TripAdvisor
