datetime,date,hour,day_of_week,month,is_weekend,is_holiday_season,visitors
2024-01-04 10:00:00,2024-01-04,10,3,1,0,0,1112
2024-01-04 11:00:00,2024-01-04,11,3,1,0,0,1163
2024-01-04 12:00:00,2024-01-04,12,3,1,0,0,1829
2024-01-04 13:00:00,2024-01-04,13,3,1,0,0,1569
2024-01-04 14:00:00,2024-01-04,14,3,1,0,0,2229
2024-01-04 15:00:00,2024-01-04,15,3,1,0,0,2098
2024-01-04 16:00:00,2024-01-04,16,3,1,0,0,1971
2024-01-04 17:00:00,2024-01-04,17,3,1,0,0,2136
2024-01-04 18:00:00,2024-01-04,18,3,1,0,0,1974
2024-01-04 19:00:00,2024-01-04,19,3,1,0,0,1639
2024-01-04 20:00:00,2024-01-04,20,3,1,0,0,1681
2024-01-04 21:00:00,2024-01-04,21,3,1,0,0,1800
2024-01-04 22:00:00,2024-01-04,22,3,1,0,0,1944
2024-01-04 23:00:00,2024-01-04,23,3,1,0,0,496
2024-01-05 09:00:00,2024-01-05,9,4,1,0,0,843
2024-01-05 10:00:00,2024-01-05,10,4,1,0,0,1151
2024-01-05 11:00:00,2024-01-05,11,4,1,0,0,1278
2024-01-05 12:00:00,2024-01-05,12,4,1,0,0,1504
2024-01-05 13:00:00,2024-01-05,13,4,1,0,0,1529
2024-01-05 14:00:00,2024-01-05,14,4,1,0,0,2494
2024-01-05 15:00:00,2024-01-05,15,4,1,0,0,2180
2024-01-05 16:00:00,2024-01-05,16,4,1,0,0,2404
2024-01-05 17:00:00,2024-01-05,17,4,1,0,0,2077
2024-01-05 18:00:00,2024-01-05,18,4,1,0,0,1620
2024-01-05 19:00:00,2024-01-05,19,4,1,0,0,1538
2024-01-05 20:00:00,2024-01-05,20,4,1,0,0,2215
2024-01-05 21:00:00,2024-01-05,21,4,1,0,0,1861
2024-01-05 22:00:00,2024-01-05,22,4,1,0,0,2221
2024-01-05 23:00:00,2024-01-05,23,4,1,0,0,213
2024-01-06 09:00:00,2024-01-06,9,5,1,1,0,1326
2024-01-06 10:00:00,2024-01-06,10,5,1,1,0,1606
2024-01-06 11:00:00,2024-01-06,11,5,1,1,0,1919
2024-01-06 12:00:00,2024-01-06,12,5,1,1,0,2397
2024-01-06 13:00:00,2024-01-06,13,5,1,1,0,2046
2024-01-06 14:00:00,2024-01-06,14,5,1,1,0,1974
2024-01-06 15:00:00,2024-01-06,15,5,1,1,0,3097
2024-01-06 16:00:00,2024-01-06,16,5,1,1,0,3410
2024-01-06 17:00:00,2024-01-06,17,5,1,1,0,2520
2024-01-06 18:00:00,2024-01-06,18,5,1,1,0,1499
2024-01-06 19:00:00,2024-01-06,19,5,1,1,0,1870
2024-01-06 20:00:00,2024-01-06,20,5,1,1,0,2801
2024-01-06 21:00:00,2024-01-06,21,5,1,1,0,1836
2024-01-06 22:00:00,2024-01-06,22,5,1,1,0,2364
2024-01-06 23:00:00,2024-01-06,23,5,1,1,0,636
2024-01-07 09:00:00,2024-01-07,9,6,1,1,0,1221
2024-01-07 10:00:00,2024-01-07,10,6,1,1,0,1774
2024-01-07 11:00:00,2024-01-07,11,6,1,1,0,1823
2024-01-07 12:00:00,2024-01-07,12,6,1,1,0,1594
2024-01-07 13:00:00,2024-01-07,13,6,1,1,0,2560
2024-01-07 14:00:00,2024-01-07,14,6,1,1,0,2387
2024-01-07 15:00:00,2024-01-07,15,6,1,1,0,3075
2024-01-07 16:00:00,2024-01-07,16,6,1,1,0,2987
2024-01-07 17:00:00,2024-01-07,17,6,1,1,0,2689
2024-01-07 18:00:00,2024-01-07,18,6,1,1,0,2304
2024-01-07 19:00:00,2024-01-07,19,6,1,1,0,1652
2024-01-07 20:00:00,2024-01-07,20,6,1,1,0,1677
2024-01-07 21:00:00,2024-01-07,21,6,1,1,0,2420
2024-01-07 22:00:00,2024-01-07,22,6,1,1,0,2281
2024-01-07 23:00:00,2024-01-07,23,6,1,1,0,588
2024-01-08 09:00:00,2024-01-08,9,0,1,0,0,937
2024-01-08 10:00:00,2024-01-08,10,0,1,0,0,1444
2024-01-08 11:00:00,2024-01-08,11,0,1,0,0,1505
2024-01-08 12:00:00,2024-01-08,12,0,1,0,0,1811
2024-01-08 13:00:00,2024-01-08,13,0,1,0,0,1972
2024-01-08 14:00:00,2024-01-08,14,0,1,0,0,1651
2024-01-08 15:00:00,2024-01-08,15,0,1,0,0,2193
2024-01-08 16:00:00,2024-01-08,16,0,1,0,0,2161
2024-01-08 17:00:00,2024-01-08,17,0,1,0,0,2579
2024-01-08 18:00:00,2024-01-08,18,0,1,0,0,1716
2024-01-08 19:00:00,2024-01-08,19,0,1,0,0,1528
2024-01-08 20:00:00,2024-01-08,20,0,1,0,0,1862
2024-01-08 21:00:00,2024-01-08,21,0,1,0,0,1607
2024-01-08 22:00:00,2024-01-08,22,0,1,0,0,2126
2024-01-08 23:00:00,2024-01-08,23,0,1,0,0,484
2024-01-09 09:00:00,2024-01-09,9,1,1,0,0,979
2024-01-09 10:00:00,2024-01-09,10,1,1,0,0,1049
2024-01-09 11:00:00,2024-01-09,11,1,1,0,0,1722
2024-01-09 12:00:00,2024-01-09,12,1,1,0,0,1461
2024-01-09 13:00:00,2024-01-09,13,1,1,0,0,2130
2024-01-09 14:00:00,2024-01-09,14,1,1,0,0,1896
2024-01-09 15:00:00,2024-01-09,15,1,1,0,0,1938
2024-01-09 16:00:00,2024-01-09,16,1,1,0,0,1999
2024-01-09 17:00:00,2024-01-09,17,1,1,0,0,2014
2024-01-09 18:00:00,2024-01-09,18,1,1,0,0,1650
2024-01-09 19:00:00,2024-01-09,19,1,1,0,0,1200
2024-01-09 20:00:00,2024-01-09,20,1,1,0,0,1885
2024-01-09 21:00:00,2024-01-09,21,1,1,0,0,1631
2024-01-09 22:00:00,2024-01-09,22,1,1,0,0,1976
2024-01-09 23:00:00,2024-01-09,23,1,1,0,0,395
2024-01-10 09:00:00,2024-01-10,9,2,1,0,0,1060
2024-01-10 10:00:00,2024-01-10,10,2,1,0,0,1066
2024-01-10 11:00:00,2024-01-10,11,2,1,0,0,1417
2024-01-10 12:00:00,2024-01-10,12,2,1,0,0,1928
2024-01-10 13:00:00,2024-01-10,13,2,1,0,0,1696
2024-01-10 14:00:00,2024-01-10,14,2,1,0,0,1542
2024-01-10 15:00:00,2024-01-10,15,2,1,0,0,2545
2024-01-10 16:00:00,2024-01-10,16,2,1,0,0,1731
2024-01-10 17:00:00,2024-01-10,17,2,1,0,0,2034
2024-01-10 18:00:00,2024-01-10,18,2,1,0,0,1811
2024-01-10 19:00:00,2024-01-10,19,2,1,0,0,1613
2024-01-10 20:00:00,2024-01-10,20,2,1,0,0,1592
2024-01-10 21:00:00,2024-01-10,21,2,1,0,0,1573
2024-01-10 22:00:00,2024-01-10,22,2,1,0,0,1987
2024-01-10 23:00:00,2024-01-10,23,2,1,0,0,460
2024-01-11 09:00:00,2024-01-11,9,3,1,0,0,921
2024-01-11 10:00:00,2024-01-11,10,3,1,0,0,1226
2024-01-11 11:00:00,2024-01-11,11,3,1,0,0,1354
2024-01-11 12:00:00,2024-01-11,12,3,1,0,0,1805
2024-01-11 13:00:00,2024-01-11,13,3,1,0,0,2060
2024-01-11 14:00:00,2024-01-11,14,3,1,0,0,1961
2024-01-11 15:00:00,2024-01-11,15,3,1,0,0,2692
2024-01-11 16:00:00,2024-01-11,16,3,1,0,0,2267
2024-01-11 17:00:00,2024-01-11,17,3,1,0,0,1706
2024-01-11 18:00:00,2024-01-11,18,3,1,0,0,1895
2024-01-11 19:00:00,2024-01-11,19,3,1,0,0,1302
2024-01-11 20:00:00,2024-01-11,20,3,1,0,0,2046
2024-01-11 21:00:00,2024-01-11,21,3,1,0,0,2129
2024-01-11 22:00:00,2024-01-11,22,3,1,0,0,1685
2024-01-11 23:00:00,2024-01-11,23,3,1,0,0,495
2024-01-12 09:00:00,2024-01-12,9,4,1,0,0,938
2024-01-12 10:00:00,2024-01-12,10,4,1,0,0,1293
2024-01-12 11:00:00,2024-01-12,11,4,1,0,0,1810
2024-01-12 12:00:00,2024-01-12,12,4,1,0,0,1705
2024-01-12 13:00:00,2024-01-12,13,4,1,0,0,1810
2024-01-12 14:00:00,2024-01-12,14,4,1,0,0,1916
2024-01-12 15:00:00,2024-01-12,15,4,1,0,0,1984
2024-01-12 16:00:00,2024-01-12,16,4,1,0,0,2125
2024-01-12 17:00:00,2024-01-12,17,4,1,0,0,2072
2024-01-12 18:00:00,2024-01-12,18,4,1,0,0,1815
2024-01-12 19:00:00,2024-01-12,19,4,1,0,0,1134
2024-01-12 20:00:00,2024-01-12,20,4,1,0,0,1872
2024-01-12 21:00:00,2024-01-12,21,4,1,0,0,2196
2024-01-12 22:00:00,2024-01-12,22,4,1,0,0,1810
2024-01-12 23:00:00,2024-01-12,23,4,1,0,0,589
2024-01-13 09:00:00,2024-01-13,9,5,1,1,0,1298
2024-01-13 10:00:00,2024-01-13,10,5,1,1,0,1426
2024-01-13 11:00:00,2024-01-13,11,5,1,1,0,1735
2024-01-13 12:00:00,2024-01-13,12,5,1,1,0,2508
2024-01-13 13:00:00,2024-01-13,13,5,1,1,0,2615
2024-01-13 14:00:00,2024-01-13,14,5,1,1,0,3144
2024-01-13 15:00:00,2024-01-13,15,5,1,1,0,3138
2024-01-13 16:00:00,2024-01-13,16,5,1,1,0,2871
2024-01-13 17:00:00,2024-01-13,17,5,1,1,0,1690
2024-01-13 18:00:00,2024-01-13,18,5,1,1,0,1940
2024-01-13 19:00:00,2024-01-13,19,5,1,1,0,1884
2024-01-13 20:00:00,2024-01-13,20,5,1,1,0,2783
2024-01-13 21:00:00,2024-01-13,21,5,1,1,0,2589
2024-01-13 22:00:00,2024-01-13,22,5,1,1,0,1502
2024-01-13 23:00:00,2024-01-13,23,5,1,1,0,612
2024-01-14 09:00:00,2024-01-14,9,6,1,1,0,1263
2024-01-14 10:00:00,2024-01-14,10,6,1,1,0,1421
2024-01-14 11:00:00,2024-01-14,11,6,1,1,0,2027
2024-01-14 12:00:00,2024-01-14,12,6,1,1,0,2388
2024-01-14 13:00:00,2024-01-14,13,6,1,1,0,2318
2024-01-14 14:00:00,2024-01-14,14,6,1,1,0,3021
2024-01-14 15:00:00,2024-01-14,15,6,1,1,0,3169
2024-01-14 16:00:00,2024-01-14,16,6,1,1,0,3273
2024-01-14 17:00:00,2024-01-14,17,6,1,1,0,3027
2024-01-14 18:00:00,2024-01-14,18,6,1,1,0,1385
2024-01-14 19:00:00,2024-01-14,19,6,1,1,0,1766
2024-01-14 20:00:00,2024-01-14,20,6,1,1,0,2680
2024-01-14 21:00:00,2024-01-14,21,6,1,1,0,2680
2024-01-14 22:00:00,2024-01-14,22,6,1,1,0,2680
2024-01-14 23:00:00,2024-01-14,23,6,1,1,0,876
2024-01-15 09:00:00,2024-01-15,9,0,1,0,0,955
2024-01-15 10:00:00,2024-01-15,10,0,1,0,0,1338
2024-01-15 11:00:00,2024-01-15,11,0,1,0,0,1643
2024-01-15 12:00:00,2024-01-15,12,0,1,0,0,1894
2024-01-15 13:00:00,2024-01-15,13,0,1,0,0,1915
2024-01-15 14:00:00,2024-01-15,14,0,1,0,0,2341
2024-01-15 15:00:00,2024-01-15,15,0,1,0,0,1995
2024-01-15 16:00:00,2024-01-15,16,0,1,0,0,2084
2024-01-15 17:00:00,2024-01-15,17,0,1,0,0,1874
2024-01-15 18:00:00,2024-01-15,18,0,1,0,0,1773
2024-01-15 19:00:00,2024-01-15,19,0,1,0,0,1884
2024-01-15 20:00:00,2024-01-15,20,0,1,0,0,1450
2024-01-15 21:00:00,2024-01-15,21,0,1,0,0,2023
2024-01-15 22:00:00,2024-01-15,22,0,1,0,0,1508
2024-01-15 23:00:00,2024-01-15,23,0,1,0,0,419
2024-01-16 09:00:00,2024-01-16,9,1,1,0,0,1011
2024-01-16 10:00:00,2024-01-16,10,1,1,0,0,1186
2024-01-16 11:00:00,2024-01-16,11,1,1,0,0,898
2024-01-16 12:00:00,2024-01-16,12,1,1,0,0,1605
2024-01-16 13:00:00,2024-01-16,13,1,1,0,0,2152
2024-01-16 14:00:00,2024-01-16,14,1,1,0,0,1957
2024-01-16 15:00:00,2024-01-16,15,1,1,0,0,2257
2024-01-16 16:00:00,2024-01-16,16,1,1,0,0,2157
2024-01-16 17:00:00,2024-01-16,17,1,1,0,0,1834
2024-01-16 18:00:00,2024-01-16,18,1,1,0,0,2208
2024-01-16 19:00:00,2024-01-16,19,1,1,0,0,1110
2024-01-16 20:00:00,2024-01-16,20,1,1,0,0,1415
2024-01-16 21:00:00,2024-01-16,21,1,1,0,0,1911
2024-01-16 22:00:00,2024-01-16,22,1,1,0,0,1721
2024-01-16 23:00:00,2024-01-16,23,1,1,0,0,489
2024-01-17 09:00:00,2024-01-17,9,2,1,0,0,809
2024-01-17 10:00:00,2024-01-17,10,2,1,0,0,1161
2024-01-17 11:00:00,2024-01-17,11,2,1,0,0,1564
2024-01-17 12:00:00,2024-01-17,12,2,1,0,0,1939
2024-01-17 13:00:00,2024-01-17,13,2,1,0,0,1703
2024-01-17 14:00:00,2024-01-17,14,2,1,0,0,2059
2024-01-17 15:00:00,2024-01-17,15,2,1,0,0,2074
2024-01-17 16:00:00,2024-01-17,16,2,1,0,0,1977
2024-01-17 17:00:00,2024-01-17,17,2,1,0,0,2412
2024-01-17 18:00:00,2024-01-17,18,2,1,0,0,1842
2024-01-17 19:00:00,2024-01-17,19,2,1,0,0,1251
2024-01-17 20:00:00,2024-01-17,20,2,1,0,0,1453
2024-01-17 21:00:00,2024-01-17,21,2,1,0,0,2346
2024-01-17 22:00:00,2024-01-17,22,2,1,0,0,2101
2024-01-17 23:00:00,2024-01-17,23,2,1,0,0,254
2024-01-18 09:00:00,2024-01-18,9,3,1,0,0,842
2024-01-18 10:00:00,2024-01-18,10,3,1,0,0,1356
2024-01-18 11:00:00,2024-01-18,11,3,1,0,0,1349
2024-01-18 12:00:00,2024-01-18,12,3,1,0,0,1295
2024-01-18 13:00:00,2024-01-18,13,3,1,0,0,2175
2024-01-18 14:00:00,2024-01-18,14,3,1,0,0,1334
2024-01-18 15:00:00,2024-01-18,15,3,1,0,0,2184
2024-01-18 16:00:00,2024-01-18,16,3,1,0,0,1311
2024-01-18 17:00:00,2024-01-18,17,3,1,0,0,1745
2024-01-18 18:00:00,2024-01-18,18,3,1,0,0,1703
2024-01-18 19:00:00,2024-01-18,19,3,1,0,0,1253
2024-01-18 20:00:00,2024-01-18,20,3,1,0,0,2236
2024-01-18 21:00:00,2024-01-18,21,3,1,0,0,1549
2024-01-18 22:00:00,2024-01-18,22,3,1,0,0,1771
2024-01-18 23:00:00,2024-01-18,23,3,1,0,0,451
2024-01-19 09:00:00,2024-01-19,9,4,1,0,0,1049
2024-01-19 10:00:00,2024-01-19,10,4,1,0,0,974
2024-01-19 11:00:00,2024-01-19,11,4,1,0,0,1680
2024-01-19 12:00:00,2024-01-19,12,4,1,0,0,1758
2024-01-19 13:00:00,2024-01-19,13,4,1,0,0,1756
2024-01-19 14:00:00,2024-01-19,14,4,1,0,0,1585
2024-01-19 15:00:00,2024-01-19,15,4,1,0,0,2252
2024-01-19 16:00:00,2024-01-19,16,4,1,0,0,1991
2024-01-19 17:00:00,2024-01-19,17,4,1,0,0,1405
2024-01-19 18:00:00,2024-01-19,18,4,1,0,0,1675
2024-01-19 19:00:00,2024-01-19,19,4,1,0,0,1494
2024-01-19 20:00:00,2024-01-19,20,4,1,0,0,2018
2024-01-19 21:00:00,2024-01-19,21,4,1,0,0,2225
2024-01-19 22:00:00,2024-01-19,22,4,1,0,0,1592
2024-01-19 23:00:00,2024-01-19,23,4,1,0,0,557
2024-01-20 09:00:00,2024-01-20,9,5,1,1,0,924
2024-01-20 10:00:00,2024-01-20,10,5,1,1,0,1560
2024-01-20 11:00:00,2024-01-20,11,5,1,1,0,1491
2024-01-20 12:00:00,2024-01-20,12,5,1,1,0,2451
2024-01-20 13:00:00,2024-01-20,13,5,1,1,0,2486
2024-01-20 14:00:00,2024-01-20,14,5,1,1,0,2824
2024-01-20 15:00:00,2024-01-20,15,5,1,1,0,2794
2024-01-20 16:00:00,2024-01-20,16,5,1,1,0,2691
2024-01-20 17:00:00,2024-01-20,17,5,1,1,0,2961
2024-01-20 18:00:00,2024-01-20,18,5,1,1,0,2473
2024-01-20 19:00:00,2024-01-20,19,5,1,1,0,1825
2024-01-20 20:00:00,2024-01-20,20,5,1,1,0,2797
2024-01-20 21:00:00,2024-01-20,21,5,1,1,0,2617
2024-01-20 22:00:00,2024-01-20,22,5,1,1,0,2770
2024-01-20 23:00:00,2024-01-20,23,5,1,1,0,644
2024-01-21 09:00:00,2024-01-21,9,6,1,1,0,761
2024-01-21 10:00:00,2024-01-21,10,6,1,1,0,1482
2024-01-21 11:00:00,2024-01-21,11,6,1,1,0,2169
2024-01-21 12:00:00,2024-01-21,12,6,1,1,0,2545
2024-01-21 13:00:00,2024-01-21,13,6,1,1,0,2680
2024-01-21 14:00:00,2024-01-21,14,6,1,1,0,2937
2024-01-21 15:00:00,2024-01-21,15,6,1,1,0,3425
2024-01-21 16:00:00,2024-01-21,16,6,1,1,0,2691
2024-01-21 17:00:00,2024-01-21,17,6,1,1,0,2863
2024-01-21 18:00:00,2024-01-21,18,6,1,1,0,2314
2024-01-21 19:00:00,2024-01-21,19,6,1,1,0,1938
2024-01-21 20:00:00,2024-01-21,20,6,1,1,0,2857
2024-01-21 21:00:00,2024-01-21,21,6,1,1,0,2774
2024-01-21 22:00:00,2024-01-21,22,6,1,1,0,2770
2024-01-21 23:00:00,2024-01-21,23,6,1,1,0,693
2024-01-22 09:00:00,2024-01-22,9,0,1,0,0,896
2024-01-22 10:00:00,2024-01-22,10,0,1,0,0,1273
2024-01-22 11:00:00,2024-01-22,11,0,1,0,0,993
2024-01-22 12:00:00,2024-01-22,12,0,1,0,0,1825
2024-01-22 13:00:00,2024-01-22,13,0,1,0,0,1959
2024-01-22 14:00:00,2024-01-22,14,0,1,0,0,1519
2024-01-22 15:00:00,2024-01-22,15,0,1,0,0,2357
2024-01-22 16:00:00,2024-01-22,16,0,1,0,0,1935
2024-01-22 17:00:00,2024-01-22,17,0,1,0,0,2490
2024-01-22 18:00:00,2024-01-22,18,0,1,0,0,1544
2024-01-22 19:00:00,2024-01-22,19,0,1,0,0,1259
2024-01-22 20:00:00,2024-01-22,20,0,1,0,0,2129
2024-01-22 21:00:00,2024-01-22,21,0,1,0,0,2047
2024-01-22 22:00:00,2024-01-22,22,0,1,0,0,2010
2024-01-22 23:00:00,2024-01-22,23,0,1,0,0,477
2024-01-23 09:00:00,2024-01-23,9,1,1,0,0,893
2024-01-23 10:00:00,2024-01-23,10,1,1,0,0,1050
2024-01-23 11:00:00,2024-01-23,11,1,1,0,0,1488
2024-01-23 12:00:00,2024-01-23,12,1,1,0,0,1613
2024-01-23 13:00:00,2024-01-23,13,1,1,0,0,2223
2024-01-23 14:00:00,2024-01-23,14,1,1,0,0,2107
2024-01-23 15:00:00,2024-01-23,15,1,1,0,0,1387
2024-01-23 16:00:00,2024-01-23,16,1,1,0,0,2062
2024-01-23 17:00:00,2024-01-23,17,1,1,0,0,2089
2024-01-23 18:00:00,2024-01-23,18,1,1,0,0,1637
2024-01-23 19:00:00,2024-01-23,19,1,1,0,0,1329
2024-01-23 20:00:00,2024-01-23,20,1,1,0,0,1924
2024-01-23 21:00:00,2024-01-23,21,1,1,0,0,1924
2024-01-23 22:00:00,2024-01-23,22,1,1,0,0,1756
2024-01-23 23:00:00,2024-01-23,23,1,1,0,0,419
2024-01-24 09:00:00,2024-01-24,9,2,1,0,0,919
2024-01-24 10:00:00,2024-01-24,10,2,1,0,0,972
2024-01-24 11:00:00,2024-01-24,11,2,1,0,0,1225
2024-01-24 12:00:00,2024-01-24,12,2,1,0,0,1605
2024-01-24 13:00:00,2024-01-24,13,2,1,0,0,1939
2024-01-24 14:00:00,2024-01-24,14,2,1,0,0,2225
2024-01-24 15:00:00,2024-01-24,15,2,1,0,0,2589
2024-01-24 16:00:00,2024-01-24,16,2,1,0,0,2366
2024-01-24 17:00:00,2024-01-24,17,2,1,0,0,1952
2024-01-24 18:00:00,2024-01-24,18,2,1,0,0,1226
2024-01-24 19:00:00,2024-01-24,19,2,1,0,0,1297
2024-01-24 20:00:00,2024-01-24,20,2,1,0,0,1865
2024-01-24 21:00:00,2024-01-24,21,2,1,0,0,1805
2024-01-24 22:00:00,2024-01-24,22,2,1,0,0,1942
2024-01-24 23:00:00,2024-01-24,23,2,1,0,0,400
2024-01-25 09:00:00,2024-01-25,9,3,1,0,0,665
2024-01-25 10:00:00,2024-01-25,10,3,1,0,0,1394
2024-01-25 11:00:00,2024-01-25,11,3,1,0,0,1455
2024-01-25 12:00:00,2024-01-25,12,3,1,0,0,1841
2024-01-25 13:00:00,2024-01-25,13,3,1,0,0,2155
2024-01-25 14:00:00,2024-01-25,14,3,1,0,0,2042
2024-01-25 15:00:00,2024-01-25,15,3,1,0,0,2259
2024-01-25 16:00:00,2024-01-25,16,3,1,0,0,1504
2024-01-25 17:00:00,2024-01-25,17,3,1,0,0,2013
2024-01-25 18:00:00,2024-01-25,18,3,1,0,0,1593
2024-01-25 19:00:00,2024-01-25,19,3,1,0,0,1479
2024-01-25 20:00:00,2024-01-25,20,3,1,0,0,1981
2024-01-25 21:00:00,2024-01-25,21,3,1,0,0,2195
2024-01-25 22:00:00,2024-01-25,22,3,1,0,0,1459
2024-01-25 23:00:00,2024-01-25,23,3,1,0,0,558
2024-01-26 09:00:00,2024-01-26,9,4,1,0,0,812
2024-01-26 10:00:00,2024-01-26,10,4,1,0,0,1300
2024-01-26 11:00:00,2024-01-26,11,4,1,0,0,1055
2024-01-26 12:00:00,2024-01-26,12,4,1,0,0,2218
2024-01-26 13:00:00,2024-01-26,13,4,1,0,0,1797
2024-01-26 14:00:00,2024-01-26,14,4,1,0,0,1929
2024-01-26 15:00:00,2024-01-26,15,4,1,0,0,2041
2024-01-26 16:00:00,2024-01-26,16,4,1,0,0,1119
2024-01-26 17:00:00,2024-01-26,17,4,1,0,0,1865
2024-01-26 18:00:00,2024-01-26,18,4,1,0,0,1596
2024-01-26 19:00:00,2024-01-26,19,4,1,0,0,1501
2024-01-26 20:00:00,2024-01-26,20,4,1,0,0,1946
2024-01-26 21:00:00,2024-01-26,21,4,1,0,0,2291
2024-01-26 22:00:00,2024-01-26,22,4,1,0,0,2083
2024-01-26 23:00:00,2024-01-26,23,4,1,0,0,413
2024-01-27 09:00:00,2024-01-27,9,5,1,1,0,1077
2024-01-27 10:00:00,2024-01-27,10,5,1,1,0,1683
2024-01-27 11:00:00,2024-01-27,11,5,1,1,0,1675
2024-01-27 12:00:00,2024-01-27,12,5,1,1,0,2892
2024-01-27 13:00:00,2024-01-27,13,5,1,1,0,3067
2024-01-27 14:00:00,2024-01-27,14,5,1,1,0,2733
2024-01-27 15:00:00,2024-01-27,15,5,1,1,0,1651
2024-01-27 16:00:00,2024-01-27,16,5,1,1,0,3367
2024-01-27 17:00:00,2024-01-27,17,5,1,1,0,2650
2024-01-27 18:00:00,2024-01-27,18,5,1,1,0,2723
2024-01-27 19:00:00,2024-01-27,19,5,1,1,0,1609
2024-01-27 20:00:00,2024-01-27,20,5,1,1,0,2342
2024-01-27 21:00:00,2024-01-27,21,5,1,1,0,2526
2024-01-27 22:00:00,2024-01-27,22,5,1,1,0,2538
2024-01-27 23:00:00,2024-01-27,23,5,1,1,0,567
2024-01-28 09:00:00,2024-01-28,9,6,1,1,0,1297
2024-01-28 10:00:00,2024-01-28,10,6,1,1,0,1386
2024-01-28 11:00:00,2024-01-28,11,6,1,1,0,1956
2024-01-28 12:00:00,2024-01-28,12,6,1,1,0,2405
2024-01-28 13:00:00,2024-01-28,13,6,1,1,0,2853
2024-01-28 14:00:00,2024-01-28,14,6,1,1,0,3144
2024-01-28 15:00:00,2024-01-28,15,6,1,1,0,1798
2024-01-28 16:00:00,2024-01-28,16,6,1,1,0,2363
2024-01-28 17:00:00,2024-01-28,17,6,1,1,0,3099
2024-01-28 18:00:00,2024-01-28,18,6,1,1,0,2466
2024-01-28 19:00:00,2024-01-28,19,6,1,1,0,1812
2024-01-28 20:00:00,2024-01-28,20,6,1,1,0,2994
2024-01-28 21:00:00,2024-01-28,21,6,1,1,0,2559
2024-01-28 22:00:00,2024-01-28,22,6,1,1,0,2881
2024-01-28 23:00:00,2024-01-28,23,6,1,1,0,604
2024-01-29 09:00:00,2024-01-29,9,0,1,0,0,1115
2024-01-29 10:00:00,2024-01-29,10,0,1,0,0,1425
2024-01-29 11:00:00,2024-01-29,11,0,1,0,0,1430
